Author,Comment,Published
@ulfianaini,"Zonasi gak berlaku di sekolah negeri favorit, rela bayar mahal agar anaknya dapet kursi yg disertai fasilitas berAC atau kipas angin lebih banyak. Bahkan ada yang memalsukan Kartu Keluarga wkwkwkwk",2024-12-16T04:12:04Z
@somecomfort,"test mtk, 7x8 berapa? jangan kelamaan mikirnya tapi wk",2024-12-15T08:06:03Z
@kudatrojan5779,"<a href=""http://www.youtube.com/results?search_query=%23hukummatijokowibesertakeluargadanseluruhstaffkronikroninyakarenasudahmenghancurkannkri"">#HukumMatiJokowiBesertaKeluargaDanSeluruhStaffKroniKroninyaKarenaSudahMenghancurkanNKRI</a><br><br><a href=""http://www.youtube.com/results?search_query=%23hukummatisemuamentrijokowiyangkorupsidanmenghancurkannkri"">#HukumMatiSemuaMentriJokowiYangKorupsiDanMenghancurkanNKRI</a>",2024-12-15T08:03:07Z
@nanas2968,"Oke aplikasikan coba kemampuan literasi yg diibicarakan di video: A mendapat soal pertanyaan dalam bahasa arab, A tidak memiliki kemampuan membaca bahasa arab/kemampuan berbahasa arab, bagaimana cara A memahami konteks pertanyaan? YA GA TAU!!! <br>Aplikasikan lagi kemampuan mengaplikasikan perhitungan yg dibahas di video: suatu perusahaan ingin membangun sebuah gedung bertingkat dengan kemiringan tertentu agar aesthetic dengan bekerjasama pada penyedia jasa tsb penyedia jasa mulai membangun tanpa perhitungan perbandingan  bahan&quot; Yg dipakai dan tanpa menghitung kemiringan gedung dengan presisi, juga tidak menghitung jumlah paku bumi yg harus ditancap lantas bagaimana? YA ROBOH LAH!!! Aplikasiin gimana kalo pondasi ilmunya kaga ada.",2024-12-14T17:05:25Z
@muhammadzakariatanjungiddu4696,Nadiem Makarim ini gaya² nya emang ngondek gitu kah<br>Astaga..<br>😂😂😂,2024-12-14T15:06:13Z
@AAF-u8c,"Miris banget emang sistem pendidikan di Indonesia ini. Adikku dapat guru yang baik dan suka mengajar, suatu hari dia diminta membawa barang barang untuk praktek. Ini kan menunjukkan bahwa fasilitas sekolah gk memadai, bahkan seorang guru pun terpaksa meminta kepada murid membawa bahan untuk dipelajari. Ini sih parah",2024-12-14T10:13:39Z
@taniaputri17,gurunya aja banyak yg gak bisa ngitung....guru aja asal angkat tanpa seleksi demi kepentingan politik,2024-12-13T19:59:50Z
@ReiBerjibaku,"gue doang ga sih yang liat/denger itu mujaer ma nadiem ngomong gedek setengah mati<br><br>kondisinya udah parah banget gini tapi kaya mereka tuh ga ada... apa yah.. akibatnya kemereka gitu<br>normal orang kalo ga becus kerja kan ada hukuman gitu, skorsing, denda, atau dipecat gitu<br>tapi ga ada yang pernah kena itu mereka<br><br>dulu angkata gue, sekolah negri tuh wah banget padahal, anak pinter kesana semua, swasta mahal doang, tapi ga ada benefitnya<br>sekarang? kalo mau selamat, ga ada pilihan laen selaen swasta, karena negri sampah sejadi jadinya",2024-12-13T10:58:45Z
@ajthereal,FIFA 2025 di intel celeron - sungguh analogi yang cepat dicerna 😂😂😂,2024-12-13T08:06:33Z
@klatenist,"Kalo siswa indo emg susah duduk anteng nyimak pelajaran ya sejak dini aja tuh marakin jalur pratek kerja ato internship. Learning by doing. At least bisa kerja walo ga apal jenis bebatuan, fosil ato susunan kerangka manusia.",2024-12-13T06:37:01Z
