username,komentar,clean_comment,stem_comment,tokens,label
kompascom,"KOREKSI: Dalam infografis tertulis “Periode survei berlangsung pada 15-20 Juli 2024”. Seharusnya ""Periode survei berlangsung pada 15-20 Juni 2024” Kami mohon maaf atas kekeliruan ini.",koreksi infografis tertulis periode survei juli periode survei juni mohon maaf kekeliruan,koreksi infografis tulis periode survei juli periode survei juni mohon maaf keliru,"['koreksi', 'infografis', 'tulis', 'periode', 'survei', 'juli', 'periode', 'survei', 'juni', 'mohon', 'maaf', 'keliru']",netral
noto.aries.3,"Pdip dukung anies aja, agar bisa menang jadi sakit hati pilpres ke Jokowi bisa terobati 😂",pdip dukung anies aja menang sakit hati pilpres jokowi terobati,pdip dukung anies aja menang sakit hati pilpres jokowi obat,"['pdip', 'dukung', 'anies', 'aja', 'menang', 'sakit', 'hati', 'pilpres', 'jokowi', 'obat']",netral
fakta.jakarta,Kok respondennya cuma 400 orang min? 😂 Di akun kami polling 93 ribu respondennya hasilnya beda: .Anies 18%Ahok 41%Ridwan Kamil 27%,respondennya orang min akun polling ribu respondennya hasilnya beda anies ahok ridwan kamil,responden orang min akun polling ribu responden hasil beda anies ahok ridwan kamil,"['responden', 'orang', 'min', 'akun', 'polling', 'ribu', 'responden', 'hasil', 'beda', 'anies', 'ahok', 'ridwan', 'kamil']",netral
annie_anieeeee,Tetep Ahok ❤️❤️❤️❤️🔥🔥🔥🔥🔥,tetep ahok,tetep ahok,"['tetep', 'ahok']",netral
info___rumahbaru,ahok aja daripada si mANIES,ahok aja si manies,ahok aja si manies,"['ahok', 'aja', 'si', 'manies']",netral
hetihimawati,Anies Baswedan tetep yg bersinar,anies baswedan tetep yg bersinar,anies baswedan tetep yg sinar,"['anies', 'baswedan', 'tetep', 'yg', 'sinar']",netral
muhgamma,Ahok aja udah.. Lagian maren anies jadi gubernur kaga ada yg keurus.. Cuma dandanin Transjakarta aja 5 tahun.. Yg lain kaga kepegang..banjir apalagi,ahok aja udah maren anies gubernur kaga yg keurus dandanin transjakarta aja yg kaga kepegangbanjir,ahok aja udah maren anies gubernur kaga yg urus dandanin transjakarta aja yg kaga kepegangbanjir,"['ahok', 'aja', 'udah', 'maren', 'anies', 'gubernur', 'kaga', 'yg', 'urus', 'dandanin', 'transjakarta', 'aja', 'yg', 'kaga', 'kepegangbanjir']",netral
pewariswali54,"Tumben Pak Anis tertinggi. Biasanya, dibikin rendah..😂",tumben anis tertinggi dibikin rendah,tumben anis tinggi bikin rendah,"['tumben', 'anis', 'tinggi', 'bikin', 'rendah']",netral
wan_da104,"Buat warga DKI kalau ingin hidup makmur , kotanya tertib teratur  ya pilih Anies",warga dki hidup makmur kotanya tertib teratur ya pilih anies,warga dki hidup makmur kota tertib atur ya pilih anies,"['warga', 'dki', 'hidup', 'makmur', 'kota', 'tertib', 'atur', 'ya', 'pilih', 'anies']",netral
sugiihartono,Abah Anies Baswedan tetap di hati warga jakarta ❤️,abah anies baswedan hati warga jakarta,abah anies baswedan hati warga jakarta,"['abah', 'anies', 'baswedan', 'hati', 'warga', 'jakarta']",netral
dedyzboen,Makin ancur jakarta kalo di pgg si mr yemen lagi😭😭😭,ancur jakarta kalo pgg si mr yemen,ancur jakarta kalo pgg si mr yen,"['ancur', 'jakarta', 'kalo', 'pgg', 'si', 'mr', 'yen']",netral
hamdyaedhon99,Jakarta sekali lagi pak anies🔥🔥,jakarta anies,jakarta anies,"['jakarta', 'anies']",netral
aipkabayan,Dripada si kaesang mending ahok aja😂... Tapi ya 😂,dripada si kaesang mending ahok aja ya,dripada si kaesang mending ahok aja ya,"['dripada', 'si', 'kaesang', 'mending', 'ahok', 'aja', 'ya']",netral
maulanayandi_,Anies menyala . . .. 🔥🔥,anies menyala,anies nyala,"['anies', 'nyala']",netral
nezaplus,ANIES IS THE BEST ANIES IS NUMBER ONE,anies is the best anies is number one,anies is the best anies is number one,"['anies', 'is', 'the', 'best', 'anies', 'is', 'number', 'one']",positif
kurniawanikbal_,"Gubernur pak Anies, wakilnya pak Ahok. Biar akur 🙂",gubernur anies wakilnya ahok biar akur,gubernur anies wakil ahok biar akur,"['gubernur', 'anies', 'wakil', 'ahok', 'biar', 'akur']",netral
hetihimawati,Anies Baswedan dilawan😂😂😂,anies baswedan dilawan,anies baswedan lawan,"['anies', 'baswedan', 'lawan']",netral
nedikrahayu,Anies - Andika untuk Jakarta 👍🏼👍🏼,anies andika jakarta,anies andika jakarta,"['anies', 'andika', 'jakarta']",netral
celina_arabela_zahrani,Tetep pilih abah anies 😍😍,tetep pilih abah anies,tetep pilih abah anies,"['tetep', 'pilih', 'abah', 'anies']",netral
galungpringgaa,Buat anyaman pakek bambu aja abisnya meliaran 🤣🤣🤣🤣 sungguh prestasi yg membanggakan buat abah tercinta,anyaman pakek bambu aja abisnya meliaran sungguh prestasi yg membanggakan abah tercinta,anyam pakek bambu aja abis liar sungguh prestasi yg bangga abah cinta,"['anyam', 'pakek', 'bambu', 'aja', 'abis', 'liar', 'sungguh', 'prestasi', 'yg', 'bangga', 'abah', 'cinta']",netral
rakha_ruslan,Anies🔥🔥🔥,anies,anies,['anies'],netral
eko.wawan.311,Kompas sering bnyk benernya,kompas bnyk benernya,kompas bnyk benernya,"['kompas', 'bnyk', 'benernya']",netral
brans2497,Anies Rasyid Baswedan,anies rasyid baswedan,anies rasyid baswedan,"['anies', 'rasyid', 'baswedan']",netral
akwamaltanjung,Abah Anies tetep menyala 🔥🔥🔥🔥🔥🔥🔥🔥,abah anies tetep menyala,abah anies tetep nyala,"['abah', 'anies', 'tetep', 'nyala']",netral
yuli_toska,Pak Anies❤️❤️,anies,anies,['anies'],netral
prbwsmnt,Go abah anies,go abah anies,go abah anies,"['go', 'abah', 'anies']",netral
ela71mom,Huhuy keluarlah akun baru netes karna ada nama.pak Anies 😂😂😂,huhuy keluarlah akun netes karna namapak anies,huhuy keluar akun netes karna namapak anies,"['huhuy', 'keluar', 'akun', 'netes', 'karna', 'namapak', 'anies']",netral
victor_arli,Mana Pak Komjenpol Dharma Porengkum???,komjenpol dharma porengkum,komjenpol dharma porengkum,"['komjenpol', 'dharma', 'porengkum']",netral
likusuma,Modal ngomong kasar bisa posisi nomor dua 😂,modal ngomong kasar posisi nomor,modal ngomong kasar posisi nomor,"['modal', 'ngomong', 'kasar', 'posisi', 'nomor']",netral
kingbania_bayu.sentosa,Hanya Jokowi dan keturunan nya yang mampu memajukan Indo...,jokowi keturunan nya memajukan indo,jokowi turun nya maju indo,"['jokowi', 'turun', 'nya', 'maju', 'indo']",netral
boim_blues,Ingat ini daerah jakarta ya buka seluruh Indonesia 😂😂😂,daerah jakarta ya buka indonesia,daerah jakarta ya buka indonesia,"['daerah', 'jakarta', 'ya', 'buka', 'indonesia']",netral
zhouyenn,"Yang 1% tapi nanti pas maju jadi 51%, siapakah Dia? 🙈",pas maju,pas maju,"['pas', 'maju']",netral
frhn.ibd,AMAN-kan Jakarta 🔥,amankan jakarta,aman jakarta,"['aman', 'jakarta']",netral
andy_taylor_joy,"Hati2 hoax... KAESANG terbukti di cintai semua warga jakarta, di PRJ kelamren smua pengunjung antusias menyambut kaesang",hati hoax kaesang terbukti cintai warga jakarta prj kelamren smua pengunjung antusias menyambut kaesang,hati hoax kaesang bukti cinta warga jakarta prj kelamren smua unjung antusias sambut kaesang,"['hati', 'hoax', 'kaesang', 'bukti', 'cinta', 'warga', 'jakarta', 'prj', 'kelamren', 'smua', 'unjung', 'antusias', 'sambut', 'kaesang']",netral
ghozali.lalu,"Bentar lagi Qodari bekerja,langsung Kaesang 60%...🤣🤣🤣🤣",bentar qodari bekerjalangsung kaesang,bentar qodari bekerjalangsung kaesang,"['bentar', 'qodari', 'bekerjalangsung', 'kaesang']",netral
sempakbolongukuran.23.27.28.32,Cuma 1 persen. Ngototnya bukan maen,persen ngototnya maen,persen ngototnya maen,"['persen', 'ngototnya', 'maen']",netral
