"username","komentar"
"kompascom","KOREKSI: Dalam infografis tertulis “Periode survei berlangsung pada 15-20 Juli 2024”. Seharusnya ""Periode survei berlangsung pada 15-20 Juni 2024” Kami mohon maaf atas kekeliruan ini."
"noto.aries.3","Pdip dukung anies aja, agar bisa menang jadi sakit hati pilpres ke Jokowi bisa terobati 😂"
"fakta.jakarta","Kok respondennya cuma 400 orang min? 😂 Di akun kami polling 93 ribu respondennya hasilnya beda: .Anies 18%Ahok 41%Ridwan Kamil 27%"
"annie_anieeeee","Tetep Ahok ❤️❤️❤️❤️🔥🔥🔥🔥🔥"
"info___rumahbaru","ahok aja daripada si mANIES"
"hetihimawati","Anies Baswedan tetep yg bersinar"
"muhgamma","Ahok aja udah.. Lagian maren anies jadi gubernur kaga ada yg keurus.. Cuma dandanin Transjakarta aja 5 tahun.. Yg lain kaga kepegang..banjir apalagi"
"pewariswali54","Tumben Pak Anis tertinggi. Biasanya, dibikin rendah..😂"
"wan_da104","Buat warga DKI kalau ingin hidup makmur , kotanya tertib teratur  ya pilih Anies"
"sugiihartono","Abah Anies Baswedan tetap di hati warga jakarta ❤️"
"dedyzboen","Makin ancur jakarta kalo di pgg si mr yemen lagi😭😭😭"
"hamdyaedhon99","Jakarta sekali lagi pak anies🔥🔥"
"aipkabayan","Dripada si kaesang mending ahok aja😂... Tapi ya 😂"
"maulanayandi_","Anies menyala . . .. 🔥🔥"
"nezaplus","ANIES IS THE BEST ANIES IS NUMBER ONE"
"annie_anieeeee","Tetep Ahok ❤️❤️❤️❤️🔥🔥🔥🔥🔥"
"kurniawanikbal_","Gubernur pak Anies, wakilnya pak Ahok. Biar akur 🙂"
"hetihimawati","Anies Baswedan dilawan😂😂😂"
"nedikrahayu","Anies - Andika untuk Jakarta 👍🏼👍🏼"
"celina_arabela_zahrani","Tetep pilih abah anies 😍😍"
"galungpringgaa","Buat anyaman pakek bambu aja abisnya meliaran 🤣🤣🤣🤣 sungguh prestasi yg membanggakan buat abah tercinta"
"rakha_ruslan","Anies🔥🔥🔥"
"eko.wawan.311","Kompas sering bnyk benernya"
"brans2497","Anies Rasyid Baswedan"
"akwamaltanjung","Abah Anies tetep menyala 🔥🔥🔥🔥🔥🔥🔥🔥"
"yuli_toska","Pak Anies❤️❤️"
"prbwsmnt","Go abah anies"
"ela71mom","Huhuy keluarlah akun baru netes karna ada nama.pak Anies 😂😂😂"
"victor_arli","Mana Pak Komjenpol Dharma Porengkum???"
"likusuma","Modal ngomong kasar bisa posisi nomor dua 😂"
"kingbania_bayu.sentosa","Hanya Jokowi dan keturunan nya yang mampu memajukan Indo..."
"boim_blues","Ingat ini daerah jakarta ya buka seluruh Indonesia 😂😂😂"
"zhouyenn","Yang 1% tapi nanti pas maju jadi 51%, siapakah Dia? 🙈"
"frhn.ibd","AMAN-kan Jakarta 🔥"
"andy_taylor_joy","Hati2 hoax... KAESANG terbukti di cintai semua warga jakarta, di PRJ kelamren smua pengunjung antusias menyambut kaesang"
"ghozali.lalu","Bentar lagi Qodari bekerja,langsung Kaesang 60%...🤣🤣🤣🤣"
"sempakbolongukuran.23.27.28.32","Cuma 1 persen. Ngototnya bukan maen"
"fikrisekumpul","Gue yakin anies sih🔥"
"dara.3243","KNP anis yg paling atas bkn kaesang ,ini  Qodari Kang survei lupa naruh Kali ya🤣🤣🤣🤣"
"gracestedita","ahok sih"
"hadi_m_syahid","Anis vs Ahok jilid 2 keren nih🔥"
"adearqam","Tumben g pesenan statistiknya wkwk"
"a.sultanfatansyah","Istri jokowi siapa tau tertarik jadi Gubernur..."
