"Link Youtube","Judul","Nama Channel","Link Channel","View","Waktu","Verifikasi 3"
"https://www.youtube.com/shorts/HN7ZjBKOE8E","Begini Momen Keseruan Raffi dan Nagita Motoran Jajal Tol IKN, Ikut Rombongan Presiden Jokowi","Tribun Travel","https://www.youtube.com/@tribuntravel","61 views","1 hour ago",""
"https://www.youtube.com/watch?v=UStMVr4ctPQ&pp=ygUDaWtu","🔴LIVE - Menilik Tiga Hari Jokowi Tinggal di IKN, Apa Saja yang Masih Kurang?","Kompas.com","https://www.youtube.com/@kompascom","2.8K views","Streamed 30 minutes ago","Verified"
"https://www.youtube.com/shorts/JiS8MnH49Xc","Jokowi Akui Tak Nyenyak Tidur di Istana Garuda IKN Nusantara, Menteri PUPR Ungkap Penyebabnya","POLITIKAL MEDIA","https://www.youtube.com/@politikalmedia6017","106 views","2 hours ago",""
"https://www.youtube.com/shorts/La_i-ZxicV0","HGU Di IKN Sampai 190 Tahun Investor Tetap Tak Mau ? #ikn #iknnusantara #pemerintah #viral #fypシ゚","TJ CUKS","https://www.youtube.com/@tjcuks07","129 views","2 hours ago",""
"https://www.youtube.com/shorts/e56F7rLFHps","Penampakan Ruang Kerja dan Kamar Tidur Jokowi di Istana Garuda IKN, Minim Perabotan","Tribun Solo Official","https://www.youtube.com/@tribunsolo","349 views","2 hours ago",""
"https://www.youtube.com/watch?v=JNFt7vtqw28&pp=ygUDaWtu","Media Asing Soroti Jokowi Ngantor di IKN, Sebut Banyak Bangunan Belum Selesai","Kompas.com","https://www.youtube.com/@kompascom","9.2K views","3 hours ago","Verified"
"https://www.youtube.com/watch?v=C8jNekOEChA&pp=ygUDaWtu","Jokowi Akan Ajak Ratusan Relawan Melihat Pembangunan di IKN","SINDOnews","https://www.youtube.com/@OfficialSINDOnews","625 views","3 hours ago",""
"https://www.youtube.com/shorts/R9-CCM-3wc0","Pengalaman Pertama Jokowi Tiduri Istana Garuda di IKN","Saber_Kukar","https://www.youtube.com/@SaberKukar","267 views","3 hours ago",""
"https://www.youtube.com/watch?v=WIQlV3Z2dYk&pp=ygUDaWtu","SEMAKIN CAKEP‼️ISTANA GARUDA BERDIRI MEGAH, IKN TERKINI,PEMBANGUNAN DILANJUTKAN PRESIDEN SELANJUTNYA","ikhfa story","https://www.youtube.com/@ikhfastory","6.4K views","3 hours ago",""
"https://www.youtube.com/shorts/CaCE2ZaKkcg","Momen Jokowi IKN sedih pekerjaan masih banyak. Pertumbuhan Ekonomi Kalimantan Naik Tinggi Karena IKN","rakyatbiasa saja","https://www.youtube.com/@rakyatbiasa_saja","659 views","4 hours ago",""
